Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
여의도샛강생태공원,관광,"자연,생태공원",서울특별시 영등포구 여의도동 49,#가족여행#걷기길#관광지#나들이#도심여행#샛강생태공원#생태공원#생태관광#여의도샛강생태공원#여의도생태공원#여의샛강생태공원#자연#친구와함께#한강변공원,18,0,0,3,korean
난지한강공원,관광,시민공원,서울특별시 마포구 한강난지로 162 한강공원 난지안내센터,#관광지#나들이#난지물놀이장#난지캠핑장#난지한강공원#난지한강공원수영장#데이트코스#도심캠핑#마포난지공원#마포한강공원#복합문화공간#연인과함께#연중무휴#열린문화공간#피크닉#한강공원#한강시민공원난지지구#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,105,0,0,2,korean
국립항공박물관,관광,박물관,서울특별시 강서구 하늘길 177,#교육여행#국립항공박물관#문화시설#아이와함께#역사속으로#역사이야기#이색체험#체험프로그램#항공박물관#항공체험,789,0,0,12,korean
경동시장,관광,시장,서울특별시 동대문구 고산자로36길 3,#가볼래터#가족여행#나들이#나홀로여행#데이트코스#로컬여행#먹거리#서울경동시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#체험학습#친구와함께#힐링,49,0,3,3,cafe
용산가족공원,관광,근린공원,서울특별시 용산구 서빙고로 137 국립중앙박물관,#가족공원#가족과함께#가족여행#걷기여행#관광지#나들이#당일치기여행#반려동물동반여행지#사계절#서울공원#서울근교여행#수도권반려동물여행지#아이와함께#연인과함께#용산가족공원#용산공원#용산미군기지#친구와함께#태극기공원#피크닉#힐링#힐링&휴양여행,36,6,0,6,etc
서서울호수공원,관광,"도시,테마공원",서울특별시 양천구 남부순환로64길 26 신월야구장,#가족여행#걷기여행#걷기좋은공원#관광지#나들이(피크닉)#당일치기여행#사계절#서서울호수공원#서울공원#아이와함께#연인과함께#자연미술관#친구와함께#피크닉#힐링&휴양여행,41,0,0,3,korean
무수아취,관광,"캠핑,야영장",서울특별시 도봉구 도봉로169길 249,#가볼래터#가족과함께#글램핑#도봉구#도봉구맛집#도봉맛집#바베큐#바베큐전문점#바비큐#서울가볼만한곳#서울글램핑#셀프바베큐#여행구독#음식#친구와함께#캠핑감성#캠핑식당,"2,025",0,0,3,korean
서울함공원,관광,"도시,테마공원",서울특별시 마포구 마포나루길 407,#가족과함께#가족여행#관광지#교육여행#마포공원#서울함#서울함공원#아이와함께#역사속으로#역사이야기#이색체험#퇴역군함#한강버스킹#함상테마파크#해양수호공원#휴식공간#휴식하기좋은곳#힐링여행,151,0,0,4,korean
헬로우 에이피엠 (Hello apm),관광,"화장품,향수",서울특별시 중구 장충단로 253 헬로우 에이피엠,#멀티쇼핑몰#쇼핑#외국인이많이찾는#외국인친구에게추천#패션몰,28,0,0,2,chinese
키자니아 서울,관광,테마파크,서울특별시 송파구 올림픽로 240 키자니아 서울,#관광지#도심여행#미세먼지_피하는_실내여행#실내여행지#아이가_열광하는_여행#아이가_좋아하는_여행#아이와함께#아이직업체험#이색체험#직업체험#체험#체험관광#키자니아#테마파크,111,0,0,1,korean
배봉산,관광,산,서울특별시 동대문구 휘경2동 배봉산,#가벼운등산#관광지#남녀노소#동대문구산#동대문구산책길#배봉산둘레길#보행데크#산책코스#서울시립대근처산#아이와함께#자연#자연속으로#자연여행#자연좋은곳#자연풍경#자연환경#휴식여행#휴식하기좋은곳#힐링산책#힐링여행,10,0,0,6,korean
만해한용운심우장,관광,기념물,서울특별시 성북구 성북로29길 24,#가족과함께#관광지#아이와함께#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적지#역사이야기#역사탐방#역사탐험,11,0,1,3,korean
독립문,관광,기념물,서울특별시 서대문구 현저동 941,#관광지#교과서속여행#독립문#독립협회#서대문독립공원#서대문독립문#수도권#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사탐방#역사탐험#연중무휴#최초서양식건물#프랑스개선문,36,0,0,6,chinese
전쟁기념관,관광,박물관,서울특별시 용산구 이태원로 29 전쟁기념관,#가족여행#교과서속여행#도심여행#문화시설#미세먼지_피하는_실내여행#박물관#실내관광지#실내여행지#아이와함께#용산전쟁기념관#전쟁기념관#전쟁사#전통&역사문화체험#체험학습,772,0,2,2,cafe
서울 중부시장,관광,시장,서울특별시 중구 을지로32길 33,#가족여행#나들이#나홀로여행#데이트코스#도심여행#먹거리#서울중부시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#친구와함께,24,0,0,5,korean
삼익패션타운,관광,"상가,아케이드",서울특별시 중구 남대문시장8길 7 삼익상가지하 2,#관광특구#구두전문백화점#남대문도매시장#남대문먹자골목#남대문시장#쇼핑#아동복#아동복시장#유명의류할인매장#패션,60,1,0,1,etc
흥인지문,관광,기념물,서울특별시 종로구 종로 288 흥인지문,#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#서울성곽#아이와함께#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#전통&역사문화체험#친구와함께#한양도성#흥인지문,46,0,0,5,korean
롯데월드 아쿠아리움,관광,아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,#가족과함께#롯데월드#롯데월드아쿠아리움#문화시설#미세먼지_피하는_실내여행#실내관광지#실내데이트#실내여행지#아이와함께#아쿠아리움#연인과함께#연중무휴#커플데이트,"9,496",0,0,1,korean
