Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
삼해집,"['족발', '맛집', '아귀찜', '굴', '닭도리탕', '친구', '소주', '보쌈', '방', '감자탕', '한잔', '음식', '한식']",8,0,0,0,0,0,8,korean
유진막국수,"['남녀', '족발', '해물파전', '맛집', '이태원', '노소', '보쌈', '회', '막국수', '음식', '제육']",6,0,1,0,0,0,6,korean
눈나무집,"['빈대떡', '평양', '삼청동', '종로구', '맛집', '녹두', '떡갈비', '추천', '만두', '두부김치', '서울', '국수', '분위기', '음식']",7,0,0,0,0,0,7,korean
불맛감자국,"['식사', '해물', '감자탕', '뼈찜', '닭볶음탕', '맛집', '가족', '추천', '음식']",3,0,0,0,0,0,3,korean
해담채 강남점,"['해', '강남', '코스', '담채', '맛집', '요리', '음식']",2,0,0,0,0,0,2,korean
초우마을,"['부채살', '꽃', '살', '한우', '육회', '동대문구', '맛집', '갈비', '등심', '음식']",6,0,0,0,0,0,6,korean
대상해,"['정식', '중식', '맛집', '요리', '음식']",0,1,0,0,0,0,1,chinese
왕돈까스&왕냉면,"['음식', '맛집']",0,0,0,0,0,0,0,None
루위,"['남녀', '롱포', '중식', '북경오리', '몽골리안', '강남', '코스', '마리', '맛집', '데이트', '노소', '비프', '요리', '음식', '및']",0,2,0,1,1,0,2,chinese
아리아,"['서울', '맛집', '등급', '중구', '호텔', '우수', '식품의약품안전처', '뷔페', '틴', '인도', '위생', '웨스', '일식', '매우', '음식', '양식', '음식점', '연인', '조선']",0,0,1,1,3,0,3,etc
