,Attraction,Subclass,Address,Participants
206,중랑장미공원,근린공원,서울특별시 중랑구 묵동 375,33
207,양재꽃시장,"원예,화훼농원",서울특별시 서초구 강남대로 27 화훼공판장 나동 87호 양재꽃시장꽃과나무,10
208,여의도공원,근린공원,서울특별시 영등포구 여의도동 여의공원로 68 여의도공원관리사무소,474
209,삼원가든,한식,서울특별시 강남구 언주로 835,748
210,마포농수산물시장,시장,서울특별시 마포구 월드컵로 235,65
211,진주회관,국수,서울특별시 중구 세종대로11길 26,"5,098"
212,이새,패션,서울특별시 종로구 인사동길 30-1 인사유리,16
213,방산 종합시장,냉면,서울특별시 중구 창경궁로 62-29,"4,566"
214,서울 평화시장,"상가,아케이드",서울특별시 중구 청계천로 274,10
215,공덕동 족발 골목,"족발,보쌈",서울특별시 마포구 만리재로 19,259
216,이화여고100주년기념관,"카페,디저트",서울특별시 중구 정동길 26 이화여고100주년기념관,449
217,샤오바오우육면 종로본점,중식당,서울특별시 종로구 삼일대로17길 15,"4,090"
218,광장시장 한복매장,한복,서울특별시 종로구 창경궁로 88 광장시장2층 구관 32호,12
219,창의문,보물,서울특별시 종로구 창의문로 118,13
220,세종대왕동상,기념물,서울특별시 종로구 세종대로 172,32
221,서대문문화체육회관실내수영장,수영장,서울특별시 서대문구 백련사길 39,49
222,구로중앙유통단지,"상가,아케이드",서울특별시 구로구 경인로53길 15,10
223,고속터미널 꽃도매상가,시장,서울특별시 서초구 신반포로 194 강남고속버스터미널,10
224,수연산방,차,서울특별시 성북구 성북로26길 8 상허 이태준 가옥,567
225,강서농산물도매시장,시장,서울특별시 강서구 발산로 40 강서농산물도매시장,170
226,오금오름공원,"도시,테마공원",서울특별시 송파구 오금로 363 오금근린공원,15
227,용산공원 반환부지,근린공원,서울특별시 용산구 서빙고로 221,12
228,약령시장,"거리,골목",서울특별시 동대문구 제기동,19
229,뚝섬 한강공원 수영장,수영장,서울특별시 광진구 자양동 112,16
230,응정헌,전통숙소,서울특별시 은평구 연서로50길 19,213
231,정릉(신덕왕후),"유적지,사적지",서울특별시 성북구 아리랑로19길 116,23
232,양천공원,근린공원,서울특별시 양천구 목동동로 111,19
233,봉화산,산,서울특별시 중랑구 묵동,18
234,오동근린공원,근린공원,서울특별시 강북구 번동 산12,10
235,롯데아울렛 서울역점,아울렛,서울특별시 용산구 한강대로 405 롯데아울렛서울역점,"1,171"
236,104고지전적비,기념물,서울특별시 서대문구 연희동 산100-1,203
237,용마랜드,촬영장소,서울특별시 중랑구 망우로70길 118,16
238,통인가게 미술,"미술,공예품",서울특별시 종로구 인사동길 32,46
239,롯데월드,테마파크,서울특별시 송파구 올림픽로 240,"15,214"
240,세운상가,"상가,아케이드",서울특별시 종로구 청계천로 159,49
241,서초구민체육센터수영장,수영장,서울특별시 서초구 사평대로 55 서초구민체육센터.심산기념문화센터,11
242,서촌게스트하우스,게스트하우스,서울특별시 종로구 자하문로7길 28-3 통인동,37
243,황궁우,국가유산,서울 중구 소공동,14
244,필동면옥,냉,서울 중구 서애로 26,"2,253"
245,간송미술관,박물,서울 성북구 성북로 102-11 간송미술관,16
246,금강제화 영등포본점,신발,서울특별시 영등포구 영중로 18,103
247,동림매듭공방,박물관,서울특별시 종로구 북촌로12길 10,15
248,더퍼스트스테이 호텔,4급,서울특별시 강서구 마곡동로4길 23,111
249,도넛정수 창신,"카페,디저트",서울특별시 종로구 창신12길 40,"1,188"
250,티테라피,카페,서울특별시 종로구 윤보선길 74,645
251,SLP 어린이회관 눈썰매장,눈썰매장,서울특별시 광진구 광나루로 441,750
252,진옥화할매원조닭한마리,닭요리,서울특별시 종로구 종로40가길 18,"3,720"
253,용산역광장,근린공원,서울특별시 용산구 한강대로23길 55,79
254,홍난파가옥,국가유산,서울특별시 종로구 송월1길 38,12
255,강서구 고성막국수,막국수,서울특별시 강서구 방화대로49길 6-7,465
256,에프마켓남부낚시,낚시,서울 금천구 시흥대로 443,98
257,돌실나이 본사할인점,한복,서울특별시 종로구 혜화로 29,31
258,백인제가옥,"문화,유적",서울특별시 종로구 북촌로7길 16,17
259,롯데백화점 본점 에비뉴엘,백화점,서울특별시 중구 남대문로 73 롯데백화점에비뉴엘,683
260,원조홍어 본점,"해물,생선요리",서울특별시 영등포구 신길로 200-22,55
261,고려대학교서울캠퍼스아이스링크,아이스링크,서울특별시 성북구 안암로 145,47
262,메이필드호텔,5성급,서울특별시 강서구 방화대로 94,825
263,해방촌 혼고,"육류,고기요리",서울특별시 용산구 신흥로 89 1층 혼고,290
264,해밀톤 호텔,3성급,서울특별시 용산구 이태원로 179,178
265,국립중앙박물관 어린이박물관,박물관,서울특별시 용산구 서빙고로 137 국립중앙박물관,"1,008"
266,카페 할아버지공장,"카페,디저트",서울특별시 성동구 성수이로7가길 9,"2,315"
267,울프강스테이크하우스,"스테이크,립",서울특별시 강남구 선릉로152길 21 영인빌딩 1층,"3,550"
268,남도분식 익선점,분식,서울특별시 종로구 수표로28길 33,706
269,태극당,베이커리,서울특별시 중구 동호로24길 7,"9,707"
270,수도박물관,박물관,서울특별시 성동구 왕십리로 27,10
271,낙원떡집,"떡,한과",서울특별시 종로구 삼일대로 438,774
272,북악산,산,서울특별시 종로구 부암동,32
273,두가헌 레스토랑,이탈리아음식,서울특별시 종로구 삼청로 14,31
274,써미트 호텔 서울,3성급,서울특별시 중구 장충단로 198,41
275,RSG 성수,"카페,디저트",서울특별시 성동구 연무장15길 11 C동 110호,12
276,포포인츠 바이 쉐라톤 조선 서울역,4성급,서울특별시 용산구 한강대로 366 포포인츠바이쉐라톤조선 서울역,485
277,창경궁 홍화문,기념물,서울특별시 종로구 창경궁로 185,90
278,금강제화 명동본점,신발,서울특별시 중구 명동8길 30 금강제화 명동본점,96
279,구로공단 노동자생활체험관,전시관,서울특별시 금천구 벚꽃로44길 17 금천 순이의 집 구로공단 노동자생활체험관,12
280,그랜드 워커힐 서울,5성급,서울특별시 광진구 워커힐로 177 그랜드워커힐 서울,"1,001"
281,한국은행 화폐박물관,박물관,서울특별시 중구 남대문로 39 한국은행,13
282,관악산 호수공원,"도시,테마공원",서울특별시 관악구 신림동 203,27
283,스미스가 좋아하는 한옥,이탈리아음식,서울특별시 종로구 삼청로 22-7,702
284,뉘조,한정식-일반,서울특별시 종로구 인사동14길 27,145
285,하나로회관,한정식-일반,서울특별시 종로구 인사동5길 25 지하1층 하나로회관,223
286,스토리지북앤필름,독립서점,서울특별시 용산구 신흥로 115-1 1층,150
287,고투몰,"상가,아케이드",서울특별시 서초구 신반포로 200 고투몰,361
288,비스타 워커힐 서울,5성급,서울특별시 광진구 워커힐로 177 비스타 워커힐 서울,559
289,광운대학교 아이스링크,아이스링크,서울특별시 노원구 광운로 21,124
290,명동칼국수 본점,"칼국수,만두",서울 중구 명동10길 29,355
291,배재학당역사박물관,박물관,서울특별시 중구 서소문로11길 19 배재학당역사박물관,17
292,소문난성수감자탕 별관,감자탕,서울특별시 성동구 연무장7길 4 해피드림,"2,048"
293,마장 축산물시장,시장,서울특별시 성동구 마장로33길 53,70
294,서울 살곶이 다리,보물,서울특별시 성동구 성수동1가 694-124,11
295,진미옥설농탕,"곰탕,설렁탕",서울특별시 송파구 가락로16길 3-12 성창빌딩 1층,486
296,꽃새우 영번지,"해물,생선요리",서울특별시 강남구 언주로 536,106
297,우표박물관,박물관,서울특별시 중구 소공로 70 지하2층 우표박물관,622
298,길음시장,시장,서울특별시 성북구 동소문로 227,27
299,설화수 도산 플래그십 스토어,"화장품,향수",서울특별시 강남구 도산대로45길 18,21
300,방신재래시장,시장,서울특별시 강서구 방화동로16길 31,33
301,오목공원,근린공원,서울특별시 양천구 목동서로 159-2,38
302,다락원체육공원,"도시,테마공원",서울특별시 도봉구 마들로 932 평화문화진지,22
303,천호공원,근린공원,서울특별시 강동구 올림픽로 702 해공도서관,99
