video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
,,@anon-zq2jc,2024-05-11T09:24:42Z,,@anon-zq2jc,2024-05-11T09:24:42Z,@@synapse1_ 이 사람 진짜 꽉 막힌 사람이네 뉴스 기사로 뻔히 다 남아 있는 팩트 조차 제대로 인지 할 생각 조차 안하고 자기 혼자 창조한 상상의 나래속에서 온갖 소설을 쓰면서 팩트를 알려줘도 팩트를 비틀어서 받아들이네. 팩트를 정확히 인지 할 노력 조차 안해서 기초 사실도 모르면서 무슨 놈의 의견이 그리 많습니까?
,,@999-xz8lm,2024-05-12T12:58:02Z,,@999-xz8lm,2024-05-12T12:58:02Z,​@@user-mf4xr4qs2m  언제는 일본에게 신용이 있었나?  일본은 개패듯이 조져야 착해진다고 역사가 증명한다
,,@user-mz8vy4fv1f,2024-05-12T13:11:54Z,,@user-mz8vy4fv1f,2024-05-12T13:11:54Z,​@@niendeiv9898애초에 그런부분들이 있었으면 법적으로 신고 들어가고 책임을 지겠지 ㅋㅋㅋㅋ<br> 니네 회사 내놔 는 어디나오는 법이냐?
,,@user-mz8vy4fv1f,2024-05-12T13:12:35Z,,@user-mz8vy4fv1f,2024-05-12T13:12:35Z,​그러면 행정조치가 들어가거나 법적으로 제제를 해야지 ㅋㅋㅋㅋ<br> 니네 회사 내놔가 맞는말이냐고요 ㅋㅋㅋ@@anon-zq2jc
,,@niendeiv9898,2024-05-12T13:18:07Z,,@niendeiv9898,2024-05-12T13:18:07Z,"@@user-mz8vy4fv1f 저기요;; 애초에 니네회사라고 하시는데 니네회사 아니라고요 경영권, 지분 67%가 소뱅에 있는 일본내기업이 어떻게 니네회사가 됩니까? 구조부터 다시알고 오세요"
,,@user-mz8vy4fv1f,2024-05-12T13:27:50Z,,@user-mz8vy4fv1f,2024-05-12T13:27:50Z,"@@niendeiv9898 ㅋㅋㅋㅋㅋ님아 애초에 흡수합병으로 되었는데요?<br> 님이나 알아보고 말하셈.<br><br> 한국기업이 일본에 세운 일본회사 라고 볼수 있는데, 그 한국기업보고 일본회사에 손떼라고 하는거임 ㅋㅋㅋㅋㅋ 이게 정상적인거?"
,,@user-mz8vy4fv1f,2024-05-12T13:29:17Z,,@user-mz8vy4fv1f,2024-05-12T13:29:17Z,"@@niendeiv9898 결국은 니네회사 맞고요.<br> 라인쓰는게 일본만이 아니라 대만도 쓰고, 다른나라도 다 쓰는데 일본정보 유출되었다고 한국은 손떼라는게 정상적임?<br><br> 일본정보만 라인에 있음?<br><br> 한국 지분율 다 떼고 아예 독립시키겟다는건데? ㅋㅋㅋㅋ"
,,@user-mz8vy4fv1f,2024-05-12T13:29:46Z,,@user-mz8vy4fv1f,2024-05-12T13:29:46Z,@@niendeiv9898 제발 알고말하던가요 ^^ 니네회사가 아니라는데 한국기업이 세운 기업이고요.  니네회사 맞음 ㅋㅋㅋㅋ
,,@niendeiv9898,2024-05-12T15:31:21Z,,@niendeiv9898,2024-05-12T15:31:21Z,@@user-mz8vy4fv1f 지분 33%들고 뭔 결국은 니네회사 타령이여. 경영권도 없고 지분도 밀리고 이번에 이사회도 싹 갈렸다매? 그나마 가지고 있던게 데이턴데 그거 털리고 제대로 시정조치 안 했으면 참교육 받을 준비 하셔야지
,,@niendeiv9898,2024-05-12T15:35:00Z,,@niendeiv9898,2024-05-12T15:35:00Z,@@user-mz8vy4fv1f ㅋㅋㅋㅋㅋㅋㅋ 그냥 님은 상법에 대해 아무것도 모르고 처음에 네이버가 세웠으니까 우리회사라고 하시는거 같은데 이미 지분 50% 넘긴시점에서 &quot;우리회사&quot;랑은 거리가 멀다고요 ㅋㅋㅋㅋㅋㅋㅋ 한국기업이 세웠으니까 &quot;결국&quot; 한국 기업이다??? ㅋㅋㅋㅋㅋ 일본에서 사업 준망하고 적자로 사업철수하게 생긴거 소뱅이 경영이랑 지분 받아서 여기까지 온건데 라인은 어쨌든 우리회사다 시전
